Scenario_ID,User_Statement,Counselor_Response,Mental_Health_Issue,Explanation
1,"""I can't stop thinking about making mistakes. It's like my brain is on replay, and I can't focus on anything else.""","""It sounds like you're experiencing some intrusive thoughts. This can be very distressing. It's important to remember that everyone makes mistakes, and it's normal to have doubts. Have you tried any techniques to manage these thoughts, like mindfulness or distraction? We can explore strategies together to help you cope.""",Obsessive-Compulsive Disorder (OCD),"The user describes symptoms of obsessive-compulsive disorder, specifically intrusive thoughts. The counselor acknowledges the distress and offers potential coping mechanisms, encouraging the user to seek further support."
2,"""I've been having trouble sleeping lately. I lie in bed for hours, but my mind just won't stop racing.""","""Insomnia can be very frustrating. It's important to create a relaxing bedtime routine and establish a consistent sleep schedule. Have you noticed any particular worries or stress that might be contributing to your sleep difficulties? We can work together to identify and address those factors.""",Insomnia,"The user describes symptoms of insomnia, difficulty falling asleep and staying asleep. The counselor suggests sleep hygiene practices and encourages the user to explore potential underlying causes for their sleep disturbances."
3,"""I feel like I'm constantly comparing myself to others, and I always come up short. I never feel good enough.""","""It's understandable to compare yourself to others, but it's important to remember that everyone is unique and has their own strengths. Focusing on your own progress and accomplishments can help boost your self-esteem. Would you like to explore some strategies for building self-confidence?""",Low Self-Esteem,"The user expresses feelings of inadequacy and self-doubt. The counselor validates their experience and encourages the user to shift their focus to personal growth and achievements, promoting a healthier self-perception."
4,"""I've lost interest in activities I used to enjoy, and I feel like I'm just going through the motions.""","""It sounds like you're experiencing a loss of motivation and pleasure. These can be signs of depression. It's important to talk about how you're feeling and explore potential causes. Have you noticed any changes in your appetite, sleep, or energy levels?""",Depression,"The user describes symptoms of depression, including anhedonia (loss of interest) and a sense of detachment. The counselor acknowledges the user's feelings and encourages further exploration of their symptoms to assess the severity of their depression."
5,"""I'm terrified of public speaking. My heart races, and I start to sweat just thinking about it.""","""Public speaking can be very anxiety-provoking. It's okay to feel nervous, but it sounds like your fear is significantly impacting your life. Have you tried any exposure therapy techniques or relaxation strategies? We can work together to develop a plan to gradually overcome this fear.""",Social Anxiety,"The user describes symptoms of social anxiety, specifically fear of public speaking. The counselor normalizes the experience of anxiety and suggests potential treatment approaches, such as exposure therapy and relaxation techniques."
6,"""I've been having really vivid nightmares and flashbacks. I can't seem to escape these memories.""","""It sounds like you're experiencing symptoms of trauma. These experiences can be incredibly distressing. It's important to know that you're not alone, and there are effective treatments available. Have you considered talking to a therapist who specializes in trauma? They can provide support and guidance as you work through these challenges.""",Post-Traumatic Stress Disorder (PTSD),"The user describes symptoms of PTSD, including nightmares and flashbacks. The counselor acknowledges the distress and recommends seeking specialized professional help."
7,"""I've been eating too much or too little lately, and I'm really worried about my weight. I feel out of control.""","""It sounds like you're struggling with your body image and eating habits. It's important to focus on overall health and well-being, rather than just weight. Have you considered talking to a registered dietitian or a therapist who specializes in eating disorders? They can provide guidance and support as you develop a healthy relationship with food.""",Eating Disorder,"The user expresses concerns about their eating habits and body image, which may indicate an underlying eating disorder. The counselor emphasizes the importance of overall health and recommends seeking professional help."
8,"""I feel like I'm constantly tired, even after getting enough sleep. I have no energy to do anything.""","""Feeling persistently tired can be a sign of an underlying physical or mental health issue. Have you noticed any other symptoms, such as difficulty concentrating or changes in appetite? It's important to consult with your doctor to rule out any medical causes.""",Fatigue,"The user describes persistent fatigue, which could be related to various factors. The counselor suggests consulting with a doctor to identify the underlying cause."
9,"""I've been isolating myself from friends and family. I don't enjoy spending time with anyone anymore.""","""Withdrawing from social interactions can be a sign of depression or other mental health concerns. It's important to reach out for support, even if it's difficult. Have you considered talking to a trusted friend or family member about how you're feeling? There are also support groups available that can provide a sense of connection.""",Social Isolation,"The user describes social withdrawal, which can be a symptom of various mental health conditions. The counselor encourages the user to seek support and connection with others."
10,"""I've been having thoughts of harming myself, and I don't know how to stop them.""","""These thoughts are very distressing, and it's important to seek help immediately. Please call a crisis hotline or go to the nearest emergency room. You are not alone, and there is help available.""",Suicidal Ideation,"The user expresses thoughts of self-harm, which is a serious mental health crisis. The counselor provides immediate crisis resources and emphasizes the importance of seeking professional help."
